subscription_id,account_id,plan,status,started_at,ended_at,mrr
1,10004,growth,active,2025-01-22,2024-01-01,3960.34
2,10006,enterprise,active,2025-11-28,,16987.73
3,10007,growth,active,2025-02-11,,2793.26
4,10008,growth,active,2025-11-30,,4134.84
5,10009,starter,active,2025-04-03,,1284.05
6,10010,growth,canceled,2026-01-18,2026-05-26,2626.02
7,10012,enterprise,active,2025-01-22,,11680.24
8,10013,growth,active,2025-10-13,,4519.59
9,10014,enterprise,canceled,2025-05-08,2025-07-08,15406.7
10,10015,growth,active,2025-08-08,,3667.58
11,10016,starter,active,2025-10-04,,840.4
12,10018,starter,canceled,2025-08-31,2026-01-30,988.94
13,10019,enterprise,active,2025-08-06,,10734.75
14,10020,growth,active,2025-07-03,,3733.0
15,10021,growth,canceled,2025-06-19,2025-10-07,2716.15
16,10022,starter,active,2025-11-05,,1085.06
17,10023,enterprise,active,2025-11-14,,9620.61
18,10024,enterprise,active,2025-06-29,,10133.09
19,10026,starter,active,2025-12-31,,1181.83
20,10029,starter,active,2025-09-09,,773.77
21,10030,growth,active,2025-08-26,,2894.26
22,10031,growth,active,2025-08-22,,3450.52
23,10032,enterprise,active,2025-08-31,,16134.71
24,10033,starter,active,2025-12-25,,1222.6
25,10034,starter,active,2025-04-09,,1226.71
26,10035,growth,canceled,2025-04-24,2026-04-14,4158.75
27,10036,starter,canceled,2025-05-05,2026-01-10,1131.27
28,10037,starter,active,2026-01-11,,1110.27
29,10038,growth,active,2025-08-20,,2892.27
30,10039,starter,active,2025-12-24,,1109.76
31,10040,growth,active,2025-12-26,,4371.54
32,10041,growth,active,2025-03-29,,4017.67
33,10042,enterprise,active,2025-01-06,,11602.29
34,10043,growth,active,2025-09-15,,4866.36
35,10044,starter,active,2025-03-21,,1148.83
36,10045,enterprise,active,2025-02-28,,9605.96
37,10046,enterprise,active,2025-03-14,,17182.68
38,10049,growth,active,2025-04-07,,3016.82
39,10050,starter,active,2025-08-31,,991.08
40,10052,starter,active,2025-08-29,,1054.11
41,10053,growth,active,2025-10-28,,5073.82
42,10055,growth,active,2025-05-17,,2891.05
43,10056,growth,canceled,2025-04-08,2025-06-07,3294.68
44,10057,growth,active,2025-07-11,,3269.14
45,10058,growth,active,2025-02-17,,3387.89
46,10060,starter,canceled,2025-11-18,2026-09-28,760.55
47,10061,growth,active,2026-01-24,,3692.44
