account_id,account_name,industry,region,segment,lifecycle_stage,company_size,created_at
10001,Account 10001,Logistics,NA,mid_market,lead,400,2025-03-26
10002,Account 10002,Retail,NA,mid_market,lead,75,2024-12-13
10003,Account 10003,Healthcare,NA,enterprise,lead,2500,2025-10-10
10004,Account 10004,Logistics,NA,mid_market,customer,900,2025-05-16
10005,Account 10005,SaaS,EMEA,startup,trial,75,2024-01-11
10006,Account 10006,Logistics,NA,enterprise,customer,150,2024-09-03
10007,Account 10007,Logistics,NA,mid_market,customer,25,2024-07-07
10008,Account 10008,Healthcare,APAC,mid_market,customer,,2025-01-16
10009,Account 10009,Retail,NA,startup,customer,2500,2024-06-21
10010,Account 10010,Healthcare,NA,mid_market,churned,2500,2025-09-20
10011,Account 10011,Fintech,EMEA,startup,lead,75,2024-07-13
10012,Account 10012,Retail,NA,enterprise,customer,75,2024-12-05
10013,Account 10013,Fintech,NA,mid_market,customer,75,2024-03-20
10014,Account 10014,Fintech,NA,enterprise,churned,25,2025-08-14
10015,Account 10015,Healthcare,APAC,mid_market,customer,25,2025-08-15
10016,Account 10016,Logistics,NA,startup,customer,25,2025-05-30
10017,Account 10017,Fintech,NA,mid_market,trial,,2024-08-16
10018,Account 10018,Healthcare,NA,startup,churned,25,2024-02-08
10019,Account 10019,SaaS,NA,enterprise,customer,25,2025-04-07
10020,Account 10020,SaaS,EMEA,mid_market,customer,900,2024-10-05
10021,Account 10021,SaaS,NA,mid_market,churned,150,2025-10-05
10022,Account 10022,SaaS,EMEA,startup,customer,900,2025-03-29
10023,Account 10023,Logistics,EMEA,enterprise,customer,400,2024-12-16
10024,Account 10024,Logistics,APAC,enterprise,customer,2500,2025-10-03
10025,Account 10025,Logistics,NA,mid_market,trial,400,2025-06-04
10026,Account 10026,SaaS,APAC,startup,customer,150,2024-10-24
10027,Account 10027,SaaS,EMEA,mid_market,trial,400,2024-01-13
10028,Account 10028,Fintech,NA,startup,lead,150,2024-03-01
10029,Account 10029,Healthcare,EMEA,startup,customer,75,2024-10-15
10030,Account 10030,Fintech,APAC,mid_market,customer,150,2024-12-31
10031,Account 10031,Healthcare,NA,mid_market,customer,75,2024-01-20
10032,Account 10032,SaaS,APAC,enterprise,customer,900,2024-03-23
10033,Account 10033,Retail,NA,startup,customer,75,2025-04-02
10034,Account 10034,Fintech,EMEA,startup,customer,25,2025-05-03
10035,Account 10035,SaaS,LATAM,mid_market,churned,75,2024-01-20
10036,Account 10036,Retail,NA,startup,churned,900,2024-11-25
10037,Account 10037,Logistics,APAC,startup,customer,75,2024-02-22
10038,Account 10038,SaaS,NA,mid_market,customer,400,2025-04-15
10039,Account 10039,Healthcare,APAC,startup,customer,900,2025-06-26
10040,Account 10040,Logistics,EMEA,mid_market,customer,25,2025-07-19
10041,Account 10041,Retail,NA,mid_market,customer,400,2025-01-23
10042,Account 10042,Logistics,NA,enterprise,customer,75,2025-02-12
10043,Account 10043,Healthcare,NA,mid_market,customer,75,2025-08-25
10044,Account 10044,Fintech,NA,startup,customer,400,2025-02-02
10045,Account 10045,Retail,NA,enterprise,customer,2500,2024-10-17
10046,Account 10046,SaaS,NA,enterprise,customer,75,2025-05-05
