opportunity_id,account_id,stage,amount,created_at,closed_at
1,10001,proposal,40259.52,2025-04-24,2025-11-28
2,10002,closed_won,40924.81,2025-01-28,2025-11-23
3,10003,proposal,122237.99,2025-03-26,2025-06-07
4,10004,prospecting,26999.9,2025-05-27,2025-07-21
5,10007,closed_lost,39522.11,2025-07-14,2025-06-30
6,10009,closed_lost,8842.72,2025-10-06,2025-09-03
7,10012,proposal,178600.42,2025-03-07,2025-07-26
8,10014,closed_won,100251.7,2025-07-03,2025-10-21
9,10015,closed_lost,62663.52,2025-05-23,2025-08-26
10,10016,closed_lost,9279.23,2025-07-08,2025-07-31
11,10017,prospecting,38193.56,2025-10-05,2025-11-20
12,10018,prospecting,8947.49,2025-10-23,2025-05-24
13,10021,qualified,60315.32,2025-11-06,2025-12-19
14,10022,closed_lost,10968.72,2025-04-28,2025-09-13
15,10025,proposal,36498.8,2025-11-02,2025-12-25
16,10026,closed_lost,16025.33,2025-06-26,2025-08-29
17,10027,closed_lost,49450.86,2025-11-22,2025-09-21
18,10028,closed_lost,11718.56,2026-01-05,2025-08-21
19,10029,closed_lost,11119.59,2025-02-06,2025-09-28
20,10030,proposal,41203.99,2025-07-17,2025-12-25
21,10031,proposal,53469.53,2026-01-14,2025-09-09
22,10032,proposal,141990.21,2025-06-26,2025-10-25
23,10033,proposal,9161.78,2025-07-07,2025-06-25
24,10034,proposal,15284.28,2025-11-21,2025-05-22
25,10035,qualified,62357.59,2025-04-19,2025-05-18
26,10036,closed_won,11377.27,2025-06-19,2026-01-30
27,10037,closed_lost,10324.12,2026-01-17,2025-08-23
28,10038,closed_won,27488.51,2025-05-26,2025-06-09
29,10039,prospecting,9964.51,2025-04-05,2025-09-14
30,10040,closed_won,28507.33,2025-04-05,2025-05-11
31,10041,qualified,53711.34,2025-12-31,2026-01-31
32,10042,prospecting,171503.2,2025-01-13,2025-08-18
33,10043,qualified,67894.56,2025-08-17,2025-09-20
34,10045,proposal,235672.1,2025-05-16,2025-09-28
35,10046,closed_lost,234053.31,2025-08-02,2025-06-18
36,10047,proposal,15896.38,2025-02-05,2025-10-18
37,10048,prospecting,16564.25,2025-09-28,2025-07-17
38,10049,qualified,45832.05,2026-02-03,2025-05-02
39,10050,proposal,12884.05,2025-02-04,2025-12-13
40,10051,qualified,11273.72,2025-10-01,2026-02-24
41,10053,closed_lost,69872.96,2025-12-31,2025-06-18
42,10055,qualified,56826.28,2025-07-10,2025-09-25
43,10056,closed_lost,37869.42,2026-02-06,2025-09-28
44,10057,qualified,33863.95,2025-07-07,2025-09-21
45,10060,proposal,9955.19,2025-01-20,2025-08-03
46,10063,proposal,52675.26,2025-07-12,2025-09-08
47,10064,qualified,49108.74,2025-10-14,2026-01-15
48,10066,proposal,25935.33,2025-04-04,2025-07-10
49,10067,closed_lost,50174.42,2025-08-21,2025-08-16
50,10068,closed_won,15976.73,2025-06-07,2025-11-28
51,10069,closed_lost,12508.63,2025-03-17,2026-02-17
52,10072,proposal,11151.69,2025-01-18,2025-11-21
53,10074,closed_lost,18110.43,2025-01-31,2025-08-29
54,10075,prospecting,9259.31,2025-01-07,2026-01-19
55,10076,closed_won,10829.1,2025-06-30,2025-07-21
56,10077,qualified,9020.27,2025-02-19,2025-11-13
57,10078,prospecting,61024.61,2025-03-26,2025-08-20
58,10080,closed_won,29207.65,2025-02-24,2026-02-09
59,10081,closed_won,54316.88,2025-01-10,2025-10-13
60,10082,qualified,18898.08,2025-04-30,2025-07-21
61,10084,proposal,8721.57,2025-05-04,2025-08-28
62,10085,qualified,15586.41,2025-05-27,2025-09-08
63,10086,qualified,16385.6,2025-09-03,2025-11-29
64,10087,proposal,35451.81,2025-08-30,2025-11-21
65,10088,proposal,41992.21,2025-03-04,2026-02-02
66,10089,proposal,11691.97,2025-10-22,2026-01-13
67,10091,closed_lost,16374.51,2025-06-15,2025-11-09
68,10092,closed_lost,38160.22,2025-07-18,2025-09-10
69,10093,qualified,57170.09,2025-07-21,2025-05-18
70,10094,qualified,18932.0,2025-10-27,2025-12-24
71,10095,closed_lost,11008.1,2025-03-17,2026-01-21
72,10096,closed_lost,51633.94,2025-05-23,2026-01-19
73,10097,proposal,16208.86,2025-04-02,2025-12-26
74,10098,prospecting,12313.59,2026-01-18,2026-02-07
75,10099,qualified,17956.71,2025-11-11,2025-06-05
76,10101,closed_won,149152.55,2025-10-04,2025-06-18
77,10102,closed_won,65845.67,2025-07-19,2025-06-27
78,10103,qualified,13601.48,2025-05-15,2025-12-01
79,10104,closed_lost,207855.79,2025-09-22,2025-11-15
80,10105,closed_won,54353.5,2025-09-29,2025-06-16
81,10106,closed_lost,58665.44,2025-09-23,2025-10-06
82,10108,prospecting,15056.85,2025-09-22,2026-02-20
83,10109,prospecting,17768.87,2025-09-07,2025-09-20
84,10110,closed_won,197235.56,2025-09-01,2025-07-08
85,10112,closed_won,20144.45,2025-04-06,2026-02-06
86,10114,qualified,41873.71,2025-10-10,2025-12-01
87,10115,prospecting,9299.75,2025-07-24,2025-10-19
88,10116,qualified,88473.61,2025-01-05,2025-08-20
