lead_id,account_id,source,score,created_at,converted
1,10001,event,45,2025-02-12,False
2,10003,webinar,27,2026-01-29,False
3,10006,organic,94,2025-06-26,True
4,10007,paid_search,15,2025-06-11,True
5,10012,paid_search,60,2025-01-02,False
6,10014,webinar,28,2025-10-08,False
7,10018,webinar,34,2025-04-14,True
8,10024,paid_search,93,2025-10-08,True
9,10025,webinar,64,2026-03-03,False
10,10027,event,99,2025-08-10,False
11,10028,partner,43,2025-08-11,False
12,10029,paid_search,88,2026-01-22,True
13,10031,organic,74,2025-06-28,True
14,10032,event,96,2025-10-03,True
15,10033,webinar,76,2025-02-17,False
16,10034,organic,39,2025-06-21,True
17,10036,partner,25,2026-01-28,True
18,10037,webinar,25,2025-05-09,True
19,10039,organic,61,2025-10-12,True
20,10040,partner,82,2025-05-08,True
21,10041,webinar,91,2026-03-19,True
22,10042,webinar,17,2025-01-28,True
23,10044,partner,73,2025-11-04,True
24,10046,webinar,58,2025-07-30,True
25,10047,organic,18,2025-08-25,False
26,10048,webinar,33,2025-04-05,False
27,10049,paid_search,20,2025-04-02,True
28,10050,event,68,2025-04-26,True
29,10051,event,80,2025-05-08,False
30,10052,event,86,2025-02-11,False
31,10053,event,68,2025-08-04,True
32,10055,event,19,2025-09-28,False
33,10057,event,81,2025-04-18,True
34,10058,event,51,2025-08-26,False
35,10064,organic,45,2025-03-26,False
36,10072,paid_search,67,2025-08-11,False
37,10074,partner,20,2025-03-19,False
38,10076,event,82,2026-01-06,False
39,10079,webinar,33,2025-02-13,True
40,10080,webinar,42,2025-11-01,False
41,10081,organic,97,2025-04-06,True
42,10083,partner,56,2026-01-31,True
43,10084,webinar,75,2026-01-28,False
44,10091,event,42,2026-03-24,False
45,10093,organic,91,2025-07-05,True
46,10095,organic,66,2025-11-27,False
47,10098,webinar,81,2025-08-05,True
48,10101,webinar,34,2025-12-14,True
49,10104,organic,77,2026-03-23,False
50,10105,webinar,39,2026-03-30,True
51,10106,partner,63,2025-05-09,False
52,10109,organic,79,2025-12-19,True
53,10113,paid_search,79,2025-02-17,True
54,10114,organic,74,2025-04-13,False
55,10117,event,83,2025-06-28,False
56,10118,event,24,2026-01-15,False
57,10120,organic,77,2025-12-14,True
58,10121,webinar,76,2025-04-17,False
59,10122,paid_search,48,2025-09-15,False
60,10123,webinar,50,2026-01-21,False
61,10124,event,43,2025-01-16,True
62,10126,event,89,2025-03-07,False
63,10128,organic,44,2025-02-15,True
64,10134,organic,36,2025-09-24,False
65,10137,event,56,2025-12-08,True
66,10138,webinar,82,2025-05-24,True
67,10139,event,79,2025-02-18,True
68,10142,partner,68,2026-01-18,True
69,10143,paid_search,49,2026-01-31,False
70,10144,event,55,2025-04-07,False
71,10148,event,91,2025-03-17,False
72,10149,paid_search,25,2026-03-07,True
73,10150,webinar,86,2026-02-08,True
74,10152,event,83,2025-01-13,False
75,10153,webinar,66,2025-11-11,True
76,10154,webinar,25,2025-09-06,True
77,10155,partner,51,2025-07-05,False
78,10156,event,47,2025-04-26,True
79,10157,paid_search,98,2026-01-14,True
80,10158,partner,97,2025-04-11,False
81,10160,partner,31,2025-02-19,True
82,10161,event,48,2025-03-08,True
83,10163,webinar,97,2025-12-25,True
84,10167,paid_search,62,2026-02-01,True
85,10168,paid_search,89,2025-12-20,False
86,10171,paid_search,86,2025-07-15,False
87,10172,webinar,58,2025-09-14,True
88,10173,webinar,99,2025-05-23,False
89,10174,organic,77,2025-08-22,False
90,10175,event,26,2025-12-26,True
91,10179,event,27,2026-01-16,True
92,10180,partner,45,2025-07-09,True
93,10182,partner,96,2025-03-11,False
94,10183,event,32,2025-11-10,False
95,10187,partner,42,2025-05-09,False
96,10188,event,70,2026-02-01,False
97,10189,partner,67,2025-05-08,True
98,10191,event,58,2025-02-26,False
99,10193,event,16,2025-11-06,False
100,10194,partner,36,2026-01-12,False
101,10195,event,51,2025-04-18,False
102,10196,event,83,2026-02-19,True
103,10197,paid_search,85,2025-01-03,True
104,10198,organic,29,2025-06-11,True
105,10202,event,75,2025-01-09,True
106,10203,organic,93,2025-08-08,True
107,10204,paid_search,64,2025-05-07,True
108,10205,paid_search,74,2025-08-16,True
109,10206,webinar,72,2025-11-19,False
110,10209,organic,54,2025-05-02,True
111,10210,paid_search,52,2025-12-10,True
112,10211,partner,32,2026-02-03,True
113,10213,organic,79,2025-08-30,False
114,10215,partner,20,2025-09-04,True
115,10217,event,55,2025-03-16,True
116,10219,webinar,64,2026-01-27,True
117,10221,paid_search,28,2025-03-24,True
118,10222,partner,85,2026-03-07,False
119,10223,webinar,95,2025-12-22,False
120,10224,webinar,21,2025-10-21,True
121,10227,event,66,2026-03-06,True
122,10228,paid_search,64,2025-08-20,True
123,10230,paid_search,42,2025-04-13,True
124,10231,organic,39,2025-02-25,True
125,10232,paid_search,15,2025-10-22,False
126,10233,event,85,2025-07-01,True
127,10235,partner,89,2025-09-21,True
128,10237,webinar,78,2026-04-05,True
129,10238,webinar,21,2025-04-30,False
130,10240,partner,56,2025-09-18,True
131,10241,partner,98,2025-02-21,False
132,10243,paid_search,35,2025-12-02,True
133,10244,organic,57,2025-09-12,False
134,10245,partner,91,2025-10-19,True
135,10246,paid_search,70,2025-04-24,True
136,10247,paid_search,86,2025-10-04,False
137,10251,partner,84,2025-08-19,True
138,10257,paid_search,64,2025-06-21,False
139,10260,organic,87,2026-02-12,True
140,10263,partner,99,2025-02-07,False
141,10267,organic,96,2025-01-16,False
142,10268,event,90,2025-09-13,False
143,10270,organic,38,2025-04-24,False
144,10271,organic,53,2026-01-29,False
145,10273,partner,39,2025-08-18,True
146,10275,partner,41,2026-03-28,True
147,10278,paid_search,77,2025-08-19,True
148,10279,organic,63,2025-01-27,False
149,10281,event,26,2025-10-11,True
150,10283,event,21,2025-07-13,True
151,10286,event,43,2026-01-19,False
152,10287,event,67,2026-01-19,True
153,10289,paid_search,17,2025-07-30,True
154,10290,organic,80,2025-06-26,True
155,10292,paid_search,15,2026-02-26,False
156,10293,webinar,87,2025-09-15,True
157,10296,organic,52,2026-04-03,True
158,10297,event,58,2025-05-07,False
159,10298,partner,15,2026-02-03,True
160,10300,partner,28,2025-05-09,True
161,10301,event,98,2025-06-27,False
162,10303,organic,41,2025-03-29,False
163,10304,webinar,47,2025-02-07,True
164,10307,event,55,2025-05-05,False
165,10312,partner,37,2025-02-06,True
166,10313,webinar,82,2025-04-20,True
167,10314,paid_search,64,2025-10-18,False
168,10317,paid_search,82,2025-05-01,False
169,10320,organic,86,2025-03-03,False
170,10321,organic,30,2025-09-28,True
171,10322,paid_search,16,2026-02-10,False
172,10323,paid_search,52,2026-01-19,False
173,10324,webinar,52,2025-03-28,True
174,10327,partner,95,2025-10-24,True
175,10328,partner,22,2025-11-22,False
176,10329,organic,93,2025-07-01,True
177,10330,webinar,17,2025-01-15,True
178,10331,webinar,58,2025-08-02,False
179,10332,partner,22,2026-01-12,True
180,10335,paid_search,71,2025-09-06,True
181,10337,partner,92,2025-06-14,True
182,10338,paid_search,89,2025-03-22,True
183,10341,paid_search,23,2025-05-03,False
184,10343,organic,44,2026-02-20,False
185,10344,organic,93,2025-06-28,True
186,10346,event,73,2025-03-06,True
187,10348,paid_search,95,2025-04-27,False
188,10352,partner,40,2026-01-08,False
189,10353,webinar,89,2025-07-06,True
190,10356,webinar,60,2025-03-10,True
191,10357,webinar,86,2026-02-09,True
192,10358,organic,54,2025-01-08,False
193,10362,paid_search,20,2026-02-22,True
194,10363,organic,42,2025-08-06,True
195,10364,partner,74,2025-02-03,True
196,10366,paid_search,19,2025-12-05,False
197,10368,webinar,26,2025-01-15,False
198,10369,webinar,22,2025-09-02,True
199,10370,webinar,48,2025-02-20,False
