ticket_id,account_id,created_at,category,priority,resolved_hours
1,10002,2026-01-19 00:00:00,integration,high,16.5
2,10002,2026-02-27 00:00:00,billing,low,26.8
3,10003,2026-04-20 00:00:00,bug,high,25.0
4,10003,2026-02-02 00:00:00,integration,low,41.7
5,10003,2026-04-24 00:00:00,how_to,low,29.3
6,10003,2026-01-12 00:00:00,bug,low,22.2
7,10003,2026-04-11 00:00:00,billing,high,18.9
8,10003,2026-01-11 00:00:00,billing,low,34.0
9,10003,2026-02-05 00:00:00,billing,medium,32.5
10,10003,2026-03-24 00:00:00,integration,low,54.1
11,10003,2026-01-30 00:00:00,billing,high,33.5
12,10003,2026-02-24 00:00:00,integration,medium,39.1
13,10003,2026-03-01 00:00:00,integration,low,33.5
14,10004,2026-01-03 00:00:00,bug,high,1.0
15,10004,2026-01-30 00:00:00,how_to,urgent,41.2
16,10005,2026-01-18 00:00:00,billing,medium,29.2
17,10006,2026-03-06 00:00:00,bug,medium,24.2
18,10006,2026-02-14 00:00:00,billing,low,17.4
19,10006,2026-04-11 00:00:00,billing,urgent,13.4
20,10006,2026-01-05 00:00:00,how_to,medium,21.8
21,10006,2026-01-14 00:00:00,billing,low,29.3
22,10008,2026-04-16 00:00:00,billing,low,14.8
23,10008,2026-03-31 00:00:00,integration,medium,34.8
24,10009,2026-04-21 00:00:00,integration,low,38.5
25,10010,2026-01-02 00:00:00,billing,low,15.8
26,10010,2026-03-28 00:00:00,integration,medium,19.5
27,10010,2026-03-10 00:00:00,integration,low,34.1
28,10010,2026-04-07 00:00:00,bug,medium,25.2
29,10011,2026-03-17 00:00:00,bug,medium,1.0
30,10012,2026-01-15 00:00:00,how_to,medium,17.8
31,10012,2026-03-10 00:00:00,integration,medium,8.7
32,10012,2026-02-11 00:00:00,bug,medium,38.3
33,10013,2026-03-16 00:00:00,billing,low,26.6
34,10014,2026-01-30 00:00:00,how_to,high,36.7
35,10014,2026-04-30 00:00:00,integration,high,34.4
36,10014,2026-03-08 00:00:00,how_to,medium,41.4
37,10014,2026-01-28 00:00:00,integration,medium,12.6
38,10014,2026-03-31 00:00:00,how_to,high,24.1
39,10014,2026-01-20 00:00:00,billing,medium,30.8
40,10014,2026-03-30 00:00:00,integration,medium,14.1
41,10014,2026-01-26 00:00:00,bug,medium,33.1
42,10014,2026-01-04 00:00:00,how_to,high,17.9
43,10014,2026-04-27 00:00:00,how_to,medium,43.4
44,10014,2026-02-27 00:00:00,integration,high,24.0
45,10015,2026-01-16 00:00:00,integration,medium,39.9
46,10015,2026-04-14 00:00:00,billing,medium,27.6
47,10017,2026-03-08 00:00:00,bug,low,41.1
